Name,Maker,Sector,Industry,Price,Collection,Ticked
CMP,Compass Minerals International Inc.,Basic Materials,Industrial Metals & Minerals,WIKI/CMP,stocks/cmp,FALSE
CMRO,"Comarco, Inc.",Technology,Communication Equipment,NA,stocks/cmro,FALSE
CMN,Cantel Medical Corp.,Healthcare,Medical Instruments & Supplies,WIKI/CMN,stocks/cmn,FALSE
CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,WIKI/CMRX,stocks/cmrx,FALSE
CMTL,Comtech Telecommunications Corp.,Technology,Communication Equipment,WIKI/CMTL,stocks/cmtl,FALSE
CNBKA,Century Bancorp Inc.,Financial,Regional - Northeast Banks,WIKI/CNBKA,stocks/cnbka,FALSE
CNC,Centene Corp.,Healthcare,Health Care Plans,WIKI/CNC,stocks/cnc,FALSE
CNDO,"Coronado Biosciences, Inc.",Healthcare,Biotechnology,WIKI/CNDO,stocks/cndo,FALSE
CNK,Cinemark Holdings Inc.,Services,"Movie Production, Theaters",WIKI/CNK,stocks/cnk,FALSE
CNL,Cleco Corporation,Utilities,Electric Utilities,WIKI/CNL,stocks/cnl,FALSE
CNA,CNA Financial Corporation,Financial,Property & Casualty Insurance,WIKI/CNA,stocks/cna,FALSE
CNBC,"Center Bancorp, Inc.",Financial,Regional - Northeast Banks,WIKI/CNBC,stocks/cnbc,FALSE
CNO,"CNO Financial Group, Inc.",Financial,Accident & Health Insurance,WIKI/CNO,stocks/cno,FALSE
CNMD,CONMED Corporation,Healthcare,Medical Appliances & Equipment,WIKI/CNMD,stocks/cnmd,FALSE
CNOB,"ConnectOne Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,WIKI/CNOB,stocks/cnob,FALSE
CNQR,"Concur Technologies, Inc.",Technology,Technical & System Software,WIKI/CNQR,stocks/cnqr,FALSE
CNS,Cohen & Steers Inc.,Financial,Asset Management,WIKI/CNS,stocks/cns,FALSE
CNSI,"Comverse, Inc.",Services,Business Services,WIKI/CNSI,stocks/cnsi,FALSE
CNSL,Consolidated Communications Holdings Inc.,Technology,Telecom Services - Domestic,WIKI/CNSL,stocks/cnsl,FALSE
CNW,Con-way Inc.,Services,Trucking,WIKI/CNW,stocks/cnw,FALSE
CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,WIKI/CNX,stocks/cnx,FALSE
CNYD,"China Yida Holding, Co.",Services,Personal Services,NA,stocks/cnyd,FALSE
COBK,"Colonial Financial Services, Inc.",Financial,Regional - Northeast Banks,NA,stocks/cobk,FALSE
COBZ,CoBiz Financial Inc.,Financial,Regional - Southwest Banks,WIKI/COBZ,stocks/cobz,FALSE
COCO,Corinthian Colleges Inc.,Services,Education & Training Services,WIKI/COCO,stocks/coco,FALSE
CODI,Compass Diversified Holdings,Conglomerates,Conglomerates,NA,stocks/codi,FALSE
COF,Capital One Financial Corporation,Financial,Credit Services,WIKI/COF,stocks/cof,FALSE
COG,Cabot Oil & Gas Corporation,Basic Materials,Independent Oil & Gas,WIKI/COG,stocks/cog,FALSE
COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/COH,stocks/coh,FALSE
COHR,Coherent Inc.,Technology,Scientific & Technical Instruments,WIKI/COHR,stocks/cohr,FALSE
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Goods,Beverages - Soft Drinks,WIKI/COKE,stocks/coke,FALSE
COL,Rockwell Collins Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/COL,stocks/col,FALSE
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/COHU,stocks/cohu,FALSE
COLB,Columbia Banking System Inc.,Financial,Savings & Loans,WIKI/COLB,stocks/colb,FALSE
COLM,Columbia Sportswear Company,Consumer Goods,Textile - Apparel Clothing,WIKI/COLM,stocks/colm,FALSE
CONN,Conns Inc.,Services,Electronics Stores,WIKI/CONN,stocks/conn,FALSE
COO,The Cooper Companies Inc.,Healthcare,Medical Instruments & Supplies,WIKI/COO,stocks/coo,FALSE
COOL,Majesco Entertainment Co.,Technology,Multimedia & Graphics Software,NA,stocks/cool,FALSE
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,WIKI/COP,stocks/cop,FALSE
COR,CoreSite Realty Corporation,Financial,REIT - Office,NA,stocks/cor,FALSE
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,WIKI/CORT,stocks/cort,FALSE
CORX,"Cortex Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/corx,FALSE
COSI,Cosi Inc.,Services,Restaurants,NA,stocks/cosi,FALSE
COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",WIKI/COST,stocks/cost,FALSE
COT,Cott Corporation,Consumer Goods,Beverages - Soft Drinks,NA,stocks/cot,FALSE
COV,Covidien plc,Healthcare,Medical Instruments & Supplies,WIKI/COV,stocks/cov,FALSE
COVR,Cover-All Technologies Inc.,,,NA,stocks/covr,FALSE
COWN,"Cowen Group, Inc.",Financial,Investment Brokerage - National,WIKI/COWN,stocks/cown,FALSE
CPAH,CounterPath Corporation,,,NA,stocks/cpah,FALSE
CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,WIKI/CPB,stocks/cpb,FALSE
CPE,Callon Petroleum Company,Basic Materials,Independent Oil & Gas,WIKI/CPE,stocks/cpe,FALSE
CPF,Central Pacific Financial Corp.,Financial,Regional - Pacific Banks,WIKI/CPF,stocks/cpf,FALSE
CPGI,China Shengda Packaging Group Inc.,Consumer Goods,Packaging & Containers,NA,stocks/cpgi,FALSE
CPHD,Cepheid,Technology,Scientific & Technical Instruments,WIKI/CPHD,stocks/cphd,FALSE
CPIX,"Cumberland Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,NA,stocks/cpix,FALSE
CPHC,Canterbury Park Holding Corporation,Services,Gaming Activities,NA,stocks/cphc,FALSE
CPN,Calpine Corp.,Utilities,Electric Utilities,WIKI/CPN,stocks/cpn,FALSE
CPRT,"Copart, Inc.",Services,Auto Dealerships,WIKI/CPRT,stocks/cprt,FALSE
CPLA,Capella Education Co.,Services,Education & Training Services,WIKI/CPLA,stocks/cpla,FALSE
CPRX,Catalyst Pharmaceutical Partners Inc.,Healthcare,Drugs - Generic,NA,stocks/cprx,FALSE
CPSI,Computer Programs & Systems Inc.,Technology,Healthcare Information Services,WIKI/CPSI,stocks/cpsi,FALSE
CPSL,"China Precision Steel, Inc.",Basic Materials,Steel & Iron,NA,stocks/cpsl,FALSE
CPST,Capstone Turbine Corp.,Industrial Goods,Industrial Electrical Equipment,WIKI/CPST,stocks/cpst,FALSE
CPT,Camden Property Trust,Financial,REIT - Residential,NA,stocks/cpt,FALSE
CRAI,CRA International Inc.,Services,Management Services,WIKI/CRAI,stocks/crai,FALSE
CPWR,Compuware Corporation,Technology,Application Software,WIKI/CPWR,stocks/cpwr,FALSE
CRAY,Cray Inc.,Technology,Diversified Computer Systems,WIKI/CRAY,stocks/cray,FALSE
CRDC,Cardica Inc.,Healthcare,Medical Instruments & Supplies,NA,stocks/crdc,FALSE
CREE,"Cree, Inc.",Technology,Semiconductor Equipment & Materials,WIKI/CREE,stocks/cree,FALSE
CRIS,"Curis, Inc.",Healthcare,Biotechnology,WIKI/CRIS,stocks/cris,FALSE
CRK,Comstock Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/CRK,stocks/crk,FALSE
CRL,"Charles River Laboratories International, Inc.",Healthcare,Medical Laboratories & Research,WIKI/CRL,stocks/crl,FALSE
CRMD,"CorMedix, Inc.",Healthcare,Biotechnology,NA,stocks/crmd,FALSE
CRMT,America's Car-Mart Inc.,Services,Auto Dealerships,WIKI/CRMT,stocks/crmt,FALSE
CROX,"Crocs, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/CROX,stocks/crox,FALSE
CRMB,"Crumbs Bake Shop, Inc.",Consumer Goods,Food - Major Diversified,NA,stocks/crmb,FALSE
CRR,CARBO Ceramics Inc.,Basic Materials,Oil & Gas Equipment & Services,WIKI/CRR,stocks/crr,FALSE
CRRC,Courier Corporation,Services,Publishing - Books,WIKI/CRRC,stocks/crrc,FALSE
CRRS,"Corporate Resource Services, Inc.",Services,Staffing & Outsourcing Services,NA,stocks/crrs,FALSE
CRS,Carpenter Technology Corp.,Industrial Goods,Metal Fabrication,WIKI/CRS,stocks/crs,FALSE
CRTX,Cornerstone Therapeutics Inc.,,,NA,stocks/crtx,FALSE
CRUS,Cirrus Logic Inc.,Technology,Semiconductor - Specialized,WIKI/CRUS,stocks/crus,FALSE
CRV,Coast Distribution System Inc.,Services,Auto Parts Wholesale,NA,stocks/crv,FALSE
CRVL,CorVel Corporation,Financial,Insurance Brokers,WIKI/CRVL,stocks/crvl,FALSE
CRVP,"Crystal Rock Holdings, Inc.",Consumer Goods,Beverages - Soft Drinks,NA,stocks/crvp,FALSE
CRWS,"Crown Crafts, Inc.",Consumer Goods,Textile - Apparel Clothing,NA,stocks/crws,FALSE
CRY,CryoLife Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CRY,stocks/cry,FALSE
CSBK,Clifton Bancorp Inc.,Financial,Savings & Loans,WIKI/CSBK,stocks/csbk,FALSE
CSCD,Cascade Microtech Inc.,Technology,Semiconductor Equipment & Materials,NA,stocks/cscd,FALSE
CSC,Computer Sciences Corporation,Technology,Information Technology Services,WIKI/CSC,stocks/csc,FALSE
CSCO,"Cisco Systems, Inc.",Technology,Networking & Communication Devices,WIKI/CSCO,stocks/csco,FALSE
CSFL,"CenterState Banks, Inc.",Financial,Regional - Southeast Banks,WIKI/CSFL,stocks/csfl,FALSE
CSGP,CoStar Group Inc.,Financial,Property Management,WIKI/CSGP,stocks/csgp,FALSE
CSGS,CSG Systems International Inc.,Technology,Business Software & Services,WIKI/CSGS,stocks/csgs,FALSE
CSH,"Cash America International, Inc.",Financial,Credit Services,WIKI/CSH,stocks/csh,FALSE
CSHB,Community Shores Bank Corp.,Financial,Regional - Southwest Banks,NA,stocks/cshb,FALSE
CSII,Cardiovascular Systems Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CSII,stocks/csii,FALSE
CSL,Carlisle Companies Incorporated,Consumer Goods,Rubber & Plastics,WIKI/CSL,stocks/csl,FALSE
CSOD,"Cornerstone OnDemand, Inc.",Technology,Application Software,WIKI/CSOD,stocks/csod,FALSE
CSPI,CSP Inc.,Technology,Information Technology Services,NA,stocks/cspi,FALSE
CSS,CSS Industries Inc.,Services,"Specialty Retail, Other",WIKI/CSS,stocks/css,FALSE
CST,"CST Brands, Inc.",Services,"Specialty Retail, Other",WIKI/CST,NA,FALSE
CSV,Carriage Services Inc.,Services,Personal Services,WIKI/CSV,stocks/csv,FALSE
CSWC,Capital Southwest Corporation,Financial,Asset Management,WIKI/CSWC,NA,FALSE
CSX,CSX Corp.,Services,Railroads,WIKI/CSX,stocks/csx,FALSE
CTAS,Cintas Corporation,Services,Business Services,WIKI/CTAS,stocks/ctas,FALSE
CTB,Cooper Tire & Rubber Co.,Consumer Goods,Rubber & Plastics,WIKI/CTB,stocks/ctb,FALSE
CTBI,Community Trust Bancorp Inc.,Financial,Regional - Southeast Banks,WIKI/CTBI,stocks/ctbi,FALSE
CTCT,"Constant Contact, Inc.",Services,Marketing Services,WIKI/CTCT,stocks/ctct,FALSE
CTG,Computer Task Group Inc.,Technology,Information Technology Services,NA,stocks/ctg,FALSE
CTHR,Charles & Colvard Ltd.,Services,Jewelry Stores,NA,stocks/cthr,FALSE
CTIB,CTI Industries Corp.,Consumer Goods,Rubber & Plastics,NA,stocks/ctib,FALSE
CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,WIKI/CTL,stocks/ctl,FALSE
CTO,Consolidated Tomoka Land Co.,Financial,Real Estate Development,WIKI/CTO,stocks/cto,FALSE
CTRN,"Citi Trends, Inc.",Services,Apparel Stores,WIKI/CTRN,stocks/ctrn,FALSE
CTS,CTS Corporation,Technology,Diversified Electronics,WIKI/CTS,stocks/cts,FALSE
CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,WIKI/CTSH,stocks/ctsh,FALSE
CTWS,Connecticut Water Service Inc.,Utilities,Water Utilities,WIKI/CTWS,stocks/ctws,FALSE
CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,WIKI/CTXS,stocks/ctxs,FALSE
CUB,Cubic Corporation,Technology,Scientific & Technical Instruments,WIKI/CUB,stocks/cub,FALSE
CUBI,"Customers Bancorp, Inc.",Financial,Regional - Northeast Banks,WIKI/CUBI,NA,FALSE
CUI,"CUI Global, Inc.",Industrial Goods,Industrial Electrical Equipment,NA,stocks/cui,FALSE
CUNB,CU Bancorp,Financial,Regional - Pacific Banks,WIKI/CUNB,stocks/cunb,FALSE
CUO,Continental Materials Corp.,Industrial Goods,Diversified Machinery,NA,stocks/cuo,FALSE
CUTR,"Cutera, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/CUTR,stocks/cutr,FALSE
CUZ,Cousins Properties Incorporated,Financial,REIT - Diversified,NA,stocks/cuz,FALSE
CVA,Covanta Holding Corporation,Industrial Goods,Waste Management,WIKI/CVA,stocks/cva,FALSE
CVBF,CVB Financial Corp.,Financial,Regional - Pacific Banks,WIKI/CVBF,stocks/cvbf,FALSE
CVC,Cablevision Systems Corporation,Services,CATV Systems,WIKI/CVC,stocks/cvc,FALSE
CVBK,Central Virginia Bankshares Inc.,,,NA,stocks/cvbk,FALSE
CVCO,"Cavco Industries, Inc.",Industrial Goods,Manufactured Housing,WIKI/CVCO,stocks/cvco,FALSE
CVCY,Central Valley Community Bancorp,Financial,Regional - Pacific Banks,NA,stocks/cvcy,FALSE
CVD,Covance Inc.,Healthcare,Medical Laboratories & Research,WIKI/CVD,stocks/cvd,FALSE
CVG,Convergys Corporation,Services,Business Services,WIKI/CVG,stocks/cvg,FALSE
CVGI,Commercial Vehicle Group Inc.,Services,Auto Parts Wholesale,WIKI/CVGI,stocks/cvgi,FALSE
CVI,"CVR Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/CVI,stocks/cvi,FALSE
CVGW,Calavo Growers Inc.,Consumer Goods,Farm Products,WIKI/CVGW,stocks/cvgw,FALSE
CVLT,"CommVault Systems, Inc.",Technology,Application Software,WIKI/CVLT,stocks/cvlt,FALSE
CVLY,Codorus Valley Bancorp Inc.,Financial,Regional - Northeast Banks,NA,stocks/cvly,FALSE
CVM,CEL-SCI Corporation,Healthcare,Biotechnology,NA,stocks/cvm,FALSE
CVO,Cenveo Inc.,Services,Business Services,WIKI/CVO,stocks/cvo,FALSE
CVR,Chicago Rivet & Machine Co.,Industrial Goods,Machine Tools & Accessories,NA,stocks/cvr,FALSE
CVTI,"Covenant Transportation Group, Inc.",Services,Trucking,NA,stocks/cvti,FALSE
CVS,CVS Caremark Corporation,Services,Drug Stores,WIKI/CVS,stocks/cvs,FALSE
CVU,CPI Aerostructures Inc.,Industrial Goods,Aerospace/Defense Products & Services,NA,stocks/cvu,FALSE
CVV,CVD Equipment Corporation,Industrial Goods,Diversified Machinery,NA,stocks/cvv,FALSE
CVVT,"China Valves Technology, Inc.",Industrial Goods,Industrial Equipment & Components,NA,stocks/cvvt,FALSE
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,WIKI/CVX,stocks/cvx,FALSE
CW,Curtiss-Wright Corporation,Technology,Scientific & Technical Instruments,WIKI/CW,stocks/cw,FALSE
CWBC,Community West Bancshares,Financial,Regional - Pacific Banks,NA,stocks/cwbc,FALSE
CWCO,Consolidated Water Co. Ltd.,Utilities,Water Utilities,WIKI/CWCO,stocks/cwco,FALSE
CWEI,"Clayton Williams Energy, Inc.",Basic Materials,Independent Oil & Gas,WIKI/CWEI,stocks/cwei,FALSE
CWH,CommonWealth REIT,,,NA,stocks/cwh,FALSE
CWHN,CommonWealth REIT,,,NA,NA,FALSE
CWST,Casella Waste Systems Inc.,Industrial Goods,Waste Management,WIKI/CWST,stocks/cwst,FALSE
CWT,California Water Service Group,Utilities,Water Utilities,WIKI/CWT,stocks/cwt,FALSE
CWTR,Coldwater Creek Inc.,Consumer Goods,Textile - Apparel Footwear & Accessories,NA,stocks/cwtr,FALSE
CXDC,China XD Plastics Company Ltd.,Consumer Goods,Rubber & Plastics,NA,stocks/cxdc,FALSE
CXO,"Concho Resources, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/CXO,stocks/cxo,FALSE
CXP,"Columbia Property Trust, Inc.",Financial,REIT - Office,NA,stocks/cxp,FALSE
CXPO,Crimson Exploration Inc.,,,NA,stocks/cxpo,FALSE
CXW,Corrections Corporation of America,Financial,REIT - Diversified,NA,stocks/cxw,FALSE
CY,Cypress Semiconductor Corporation,Technology,Semiconductor - Broad Line,WIKI/CY,stocks/cy,FALSE
CYAN,Cyanotech Corp.,Healthcare,Biotechnology,NA,stocks/cyan,FALSE
CYB,WisdomTree Chinese Yuan Strategy,,,NA,stocks/cyb,FALSE
CYBE,CyberOptics Corp.,Technology,Scientific & Technical Instruments,NA,stocks/cybe,FALSE
CYBX,Cyberonics Inc.,Healthcare,Medical Appliances & Equipment,WIKI/CYBX,stocks/cybx,FALSE
CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,NA,stocks/cycc,FALSE
CYCCP,"Cyclacel Pharmaceuticals, Inc.",,,NA,NA,FALSE
CYH,"Community Health Systems, Inc.",Healthcare,Hospitals,WIKI/CYH,stocks/cyh,FALSE
CYN,City National Corporation,Financial,Money Center Banks,WIKI/CYN,stocks/cyn,FALSE
CYNI,"Cyan, Inc.",Technology,Communication Equipment,WIKI/CYNI,stocks/cyni,FALSE
CYNO,"Cynosure, Inc.",Healthcare,Medical Appliances & Equipment,WIKI/CYNO,stocks/cyno,FALSE
CYS,"CYS Investments, Inc.",Financial,Mortgage Investment,NA,NA,FALSE
CYT,Cytec Industries Inc.,Basic Materials,Specialty Chemicals,WIKI/CYT,stocks/cyt,FALSE
CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,WIKI/CYTK,stocks/cytk,FALSE
CYTR,CytRx Corporation,Healthcare,Biotechnology,NA,stocks/cytr,FALSE
CYTX,"Cytori Therapeutics, Inc.",Healthcare,Biotechnology,WIKI/CYTX,stocks/cytx,FALSE
CYTXW,Cytori Therapeutics Inc,,,NA,NA,FALSE
CZFC,Citizens First Corporation,Financial,Regional - Southeast Banks,NA,stocks/czfc,FALSE
CZNC,Citizens & Northern Corp.,Financial,Regional - Mid-Atlantic Banks,WIKI/CZNC,stocks/cznc,FALSE
CZWI,"Citizens Community Bancorp, Inc.",Financial,Regional - Midwest Banks,NA,stocks/czwi,FALSE
D,"Dominion Resources, Inc.",Utilities,Electric Utilities,WIKI/D,stocks/d,FALSE
DAEG,Daegis Inc.,Technology,Application Software,NA,stocks/daeg,FALSE
CZR,Caesars Entertainment Corporation,Services,Resorts & Casinos,WIKI/CZR,stocks/czr,FALSE
DAIO,Data I/O Corp.,Technology,Diversified Electronics,NA,stocks/daio,FALSE
DAL,Delta Air Lines Inc.,Services,Major Airlines,WIKI/DAL,stocks/dal,FALSE
DAKT,Daktronics Inc.,Consumer Goods,Electronic Equipment,WIKI/DAKT,stocks/dakt,FALSE
DAN,Dana Holding Corporation,Consumer Goods,Auto Parts,WIKI/DAN,stocks/dan,FALSE
DAR,Darling International Inc.,Industrial Goods,Waste Management,WIKI/DAR,stocks/dar,FALSE
DARA,"DARA BioSciences, Inc",Healthcare,Biotechnology,NA,stocks/dara,FALSE
DATA,"Tableau Software, Inc.",Technology,Application Software,WIKI/DATA,stocks/data,FALSE
DAVE,Famous Dave's of America Inc.,Services,Restaurants,NA,stocks/dave,FALSE
DBD,"Diebold, Incorporated",Technology,Diversified Computer Systems,WIKI/DBD,stocks/dbd,FALSE
DBLE,Double Eagle Petroleum Co.,,,NA,stocks/dble,FALSE
DBLEP,Double Eagle Petroleum Co.,,,NA,NA,FALSE
DCI,"Donaldson Company, Inc.",Industrial Goods,Pollution & Treatment Controls,WIKI/DCI,stocks/dci,FALSE
DCO,Ducommun Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/DCO,stocks/dco,FALSE
DCOM,Dime Community Bancshares Inc.,Financial,Savings & Loans,WIKI/DCOM,stocks/dcom,FALSE
DCT,DCT Industrial Trust Inc.,Financial,REIT - Industrial,NA,stocks/dct,FALSE
DCTH,"Delcath Systems, Inc.",Healthcare,Drug Delivery,NA,stocks/dcth,FALSE
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,WIKI/DD,stocks/dd,FALSE
DDD,3D Systems Corp.,Technology,Computer Peripherals,WIKI/DDD,stocks/ddd,FALSE
DDDC,"deltathree, Inc.",Technology,Diversified Communication Services,NA,stocks/dddc,FALSE
DDE,Dover Downs Gaming & Entertainment Inc.,Services,Gaming Activities,NA,stocks/dde,FALSE
DDR,DDR Corp.,Financial,REIT - Retail,NA,stocks/ddr,FALSE
DDS,Dillard's Inc.,Services,Department Stores,WIKI/DDS,stocks/dds,FALSE
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,WIKI/DE,stocks/de,FALSE
DECK,Deckers Outdoor Corp.,Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/DECK,stocks/deck,FALSE
DEER,"Deer Consumer Products, Inc.",Consumer Goods,Home Furnishings & Fixtures,NA,stocks/deer,FALSE
DEI,Douglas Emmett Inc,Financial,REIT - Diversified,NA,stocks/dei,FALSE
DEL,Deltic Timber Corporation,Industrial Goods,"Lumber, Wood Production",WIKI/DEL,stocks/del,FALSE
DENN,Denny's Corporation,Services,Restaurants,WIKI/DENN,stocks/denn,FALSE
DEPO,DepoMed Inc.,Healthcare,Drug Manufacturers - Other,WIKI/DEPO,stocks/depo,FALSE
DEST,Destination Maternity Corporation,Services,Apparel Stores,WIKI/DEST,stocks/dest,FALSE
DF,Dean Foods Company,Consumer Goods,Dairy Products,WIKI/DF,stocks/df,FALSE
DFS,Discover Financial Services,Financial,Credit Services,WIKI/DFS,stocks/dfs,FALSE
DFT,"DuPont Fabros Technology, Inc.",Financial,REIT - Office,NA,stocks/dft,FALSE
DFZ,R.G. Barry Corporation,Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/DFZ,stocks/dfz,FALSE
DG,Dollar General Corporation,Services,"Discount, Variety Stores",WIKI/DG,stocks/dg,FALSE
DGI,"DigitalGlobe, Inc.",Industrial Goods,Aerospace/Defense Products & Services,WIKI/DGI,stocks/dgi,FALSE
DGAS,"Delta Natural Gas Company, Inc.",Utilities,Gas Utilities,WIKI/DGAS,stocks/dgas,FALSE
DGICA,Donegal Group Inc.,,,WIKI/DGICA,stocks/dgica,FALSE
DGICB,Donegal Group Inc.,Financial,Property & Casualty Insurance,NA,stocks/dgicb,FALSE
DGII,Digi International Inc.,Technology,Networking & Communication Devices,WIKI/DGII,stocks/dgii,FALSE
DGIT,"Digital Generation, Inc.",,,NA,stocks/dgit,FALSE
DGLY,Digital Ally Inc.,Technology,Scientific & Technical Instruments,NA,stocks/dgly,FALSE
DGSE,DGSE Companies Inc.,Services,Jewelry Stores,NA,stocks/dgse,FALSE
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,WIKI/DGX,stocks/dgx,FALSE
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,WIKI/DHI,stocks/dhi,FALSE
DHIL,Diamond Hill Investment Group Inc.,Financial,Asset Management,WIKI/DHIL,stocks/dhil,FALSE
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,WIKI/DHR,stocks/dhr,FALSE
DHX,"Dice Holdings, Inc.",Services,Staffing & Outsourcing Services,WIKI/DHX,stocks/dhx,FALSE
DHRM,Dehaier Medical Systems Limited,Healthcare,Medical Appliances & Equipment,NA,stocks/dhrm,FALSE
DIET,Ediets.com Inc.,,,NA,stocks/diet,FALSE
DIN,"DineEquity, Inc.",Services,Restaurants,WIKI/DIN,stocks/din,FALSE
DIOD,Diodes Incorporated,Technology,Semiconductor - Integrated Circuits,WIKI/DIOD,stocks/diod,FALSE
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,WIKI/DISCA,stocks/disca,FALSE
DISCB,"Discovery Communications, Inc.",,,NA,NA,FALSE
DISCK,"Discovery Communications, Inc.",,,NA,NA,FALSE
DISH,Dish Network Corp.,Services,CATV Systems,WIKI/DISH,stocks/dish,FALSE
DIS,The Walt Disney Company,Services,Entertainment - Diversified,WIKI/DIS,stocks/dis,FALSE
DJCO,Daily Journal Corp.,Services,Publishing - Newspapers,WIKI/DJCO,stocks/djco,FALSE
DIT,AMCON Distributing Co.,Services,Food Wholesale,NA,stocks/dit,FALSE
DK,"Delek US Holdings, Inc.",Basic Materials,Oil & Gas Refining & Marketing,WIKI/DK,stocks/dk,FALSE
DKL,"Delek Logistics Partners, LP",Basic Materials,Independent Oil & Gas,NA,stocks/dkl,FALSE
DKS,Dick's Sporting Goods Inc.,Services,Sporting Goods Stores,WIKI/DKS,stocks/dks,FALSE
DLB,"Dolby Laboratories, Inc.",Technology,Diversified Electronics,WIKI/DLB,stocks/dlb,FALSE
DLA,Delta Apparel Inc.,Consumer Goods,Textile - Apparel Clothing,NA,stocks/dla,FALSE
DLGC,"Dialogic, Inc.",Technology,Communication Equipment,NA,stocks/dlgc,FALSE
DLLR,DFC Global Corp.,Financial,Credit Services,WIKI/DLLR,stocks/dllr,FALSE
DLIA,"dELiA*s, Inc.",Services,Catalog & Mail Order Houses,NA,stocks/dlia,FALSE
DLHC,DLH Holdings Corp.,Services,Staffing & Outsourcing Services,NA,stocks/dlhc,FALSE
DLPH,Delphi Automotive PLC,Consumer Goods,Auto Parts,WIKI/DLPH,stocks/dlph,FALSE
DLR,Digital Realty Trust Inc.,Financial,REIT - Office,NA,NA,FALSE
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",WIKI/DLTR,stocks/dltr,FALSE
DLX,Deluxe Corp.,Services,Business Services,WIKI/DLX,stocks/dlx,FALSE
DMD,"Demand Media, Inc.",Technology,Internet Software & Services,WIKI/DMD,stocks/dmd,FALSE
DMLP,Dorchester Minerals LP,Financial,Diversified Investments,NA,stocks/dmlp,FALSE
DMRC,Digimarc Corporation,Technology,Information Technology Services,WIKI/DMRC,stocks/dmrc,FALSE
DMND,"Diamond Foods, Inc.",Consumer Goods,Processed & Packaged Goods,WIKI/DMND,stocks/dmnd,FALSE
DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,WIKI/DNB,stocks/dnb,FALSE
DNDN,Dendreon Corp.,Healthcare,Biotechnology,WIKI/DNDN,stocks/dndn,FALSE
DNKN,"Dunkin' Brands Group, Inc.",Services,Restaurants,WIKI/DNKN,stocks/dnkn,FALSE
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/DNR,stocks/dnr,FALSE
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/DO,stocks/do,FALSE
DNBF,DNB Financial Corp.,Financial,Regional - Mid-Atlantic Banks,NA,stocks/dnbf,FALSE
DORM,"Dorman Products, Inc.",Consumer Goods,Auto Parts,WIKI/DORM,stocks/dorm,FALSE
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,WIKI/DOV,stocks/dov,FALSE
DOW,The Dow Chemical Company,Basic Materials,Chemicals - Major Diversified,WIKI/DOW,stocks/dow,FALSE
DPS,"Dr Pepper Snapple Group, Inc.",Consumer Goods,Beverages - Soft Drinks,WIKI/DPS,stocks/dps,FALSE
DPM,DCP Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,NA,stocks/dpm,FALSE
DPW,Digital Power Corp.,Technology,Diversified Electronics,NA,stocks/dpw,FALSE
